A̱o,Salario Hombres,Salario Mujeres,Diferencia en euros,Diferencia %
2008,24203,18910,5293,27.990481226864095
2009,25001,19502,5499,28.197107988924213
2010,25479,19735,5744,29.10564986065366
2011,25667,19767,5900,29.84772600799312
2012,25682,19537,6145,31.453140195526437
2013,25675,19514,6161,31.572204571077172
2014,25727,19744,5983,30.302876823338735
2015,25992,20051,5941,29.629444915465562
2016,25924,20131,5793,28.776513834384783
2017,26391,20607,5784,28.068132188091425
2018,26738,21011,5727,27.257151016134408
2019,26934,21682,5252,24.222857669956646
2020,27642,22467,5175,23.03378288155962
